Leading Cancer Sites,Leading Cancer Sites Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Mortality-Incidence Age-Adjusted Rate Ratio,Death Counts,Mortality Population,Mortality Age-Adjusted Rate,Incidence Counts,Incidence Population,Incidence Age-Adjusted Rate
Brain and Other Nervous System,31010-31040,1999,1999,Female,F,Hispanic,2135-2,0.515,275,16482539,2.673,629,16482539,5.191
Brain and Other Nervous System,31010-31040,1999,1999,Female,F,Non-Hispanic,2186-5,0.653,5374,123911675,3.873,7920,123911675,5.929
Brain and Other Nervous System,31010-31040,1999,1999,Male,M,Hispanic,2135-2,0.514,293,17412426,3.176,738,17412426,6.177
Brain and Other Nervous System,31010-31040,1999,1999,Male,M,Non-Hispanic,2186-5,0.705,6564,117654708,5.801,9435,117654708,8.226
Brain and Other Nervous System,31010-31040,2000,2000,Female,F,Hispanic,2135-2,0.501,285,17296134,2.548,662,17296134,5.085
Brain and Other Nervous System,31010-31040,2000,2000,Female,F,Non-Hispanic,2186-5,0.63,5256,124569636,3.727,7949,124569636,5.916
Brain and Other Nervous System,31010-31040,2000,2000,Male,M,Hispanic,2135-2,0.571,345,18311173,3.621,755,18311173,6.34
Brain and Other Nervous System,31010-31040,2000,2000,Male,M,Non-Hispanic,2186-5,0.691,6536,118381271,5.7,9560,118381271,8.254
Brain and Other Nervous System,31010-31040,2000,2000,Male,M,Unknown or Missing,UNK,Not Applicable,18,Not Applicable,Not Applicable,24,Not Applicable,Not Applicable
Brain and Other Nervous System,31010-31040,2001,2001,Female,F,Hispanic,2135-2,0.501,282,18038562,2.445,658,18038562,4.88
Brain and Other Nervous System,31010-31040,2001,2001,Female,F,Non-Hispanic,2186-5,0.636,5242,125565415,3.676,7853,125565415,5.779
Brain and Other Nervous System,31010-31040,2001,2001,Male,M,Hispanic,2135-2,0.542,334,19057491,3.459,842,19057491,6.384
Brain and Other Nervous System,31010-31040,2001,2001,Male,M,Non-Hispanic,2186-5,0.696,6583,119454493,5.641,9532,119454493,8.106
Brain and Other Nervous System,31010-31040,2002,2002,Female,F,Hispanic,2135-2,0.475,290,18777495,2.448,733,18777495,5.151
Brain and Other Nervous System,31010-31040,2002,2002,Female,F,Non-Hispanic,2186-5,0.634,5320,126141727,3.695,7969,126141727,5.828
Brain and Other Nervous System,31010-31040,2002,2002,Male,M,Hispanic,2135-2,0.544,359,19788056,3.52,860,19788056,6.47
Brain and Other Nervous System,31010-31040,2002,2002,Male,M,Non-Hispanic,2186-5,0.675,6684,120059234,5.632,9919,120059234,8.345
Brain and Other Nervous System,31010-31040,2003,2003,Female,F,Hispanic,2135-2,0.485,301,19529116,2.404,737,19529116,4.959
Brain and Other Nervous System,31010-31040,2003,2003,Female,F,Non-Hispanic,2186-5,0.626,5467,128149920,3.727,8312,128149920,5.953
Brain and Other Nervous System,31010-31040,2003,2003,Male,M,Hispanic,2135-2,0.527,368,20516198,3.402,865,20516198,6.45
Brain and Other Nervous System,31010-31040,2003,2003,Male,M,Non-Hispanic,2186-5,0.677,6746,121912699,5.541,9972,121912699,8.182
Brain and Other Nervous System,31010-31040,2004,2004,Female,F,Hispanic,2135-2,0.478,306,20263650,2.337,785,20263650,4.894
Brain and Other Nervous System,31010-31040,2004,2004,Female,F,Non-Hispanic,2186-5,0.6,5438,128713636,3.629,8541,128713636,6.05
Brain and Other Nervous System,31010-31040,2004,2004,Male,M,Hispanic,2135-2,0.489,365,21233735,3.177,918,21233735,6.502
Brain and Other Nervous System,31010-31040,2004,2004,Male,M,Non-Hispanic,2186-5,0.652,6699,122594277,5.408,10261,122594277,8.3
