Gender,Preference
Female,Product A
Male,Product C
Male,Product C
Male,Product A
Female,Product A
Female,Product C
Female,Product C
Male,Product A
Female,Product A
Female,Product C
Female,Product C
Male,Product C
Female,Product C
Male,Product B
Female,Product C
Female,Product C
Male,Product B
Female,Product C
Female,Product A
Female,Product C
Female,Product A
Male,Product A
Female,Product B
Male,Product A
Male,Product A
Female,Product B
Female,Product B
Female,Product B
Female,Product C
Female,Product B
Male,Product C
Male,Product B
Female,Product B
Female,Product B
Female,Product B
Male,Product C
Male,Product C
Female,Product B
Male,Product C
Female,Product B
Female,Product C
Male,Product B
Female,Product A
Female,Product A
Male,Product A
Male,Product B
Female,Product B
Female,Product A
Female,Product A
Male,Product B
Male,Product A
Female,Product B
Male,Product A
Male,Product B
Female,Product A
Male,Product B
Male,Product C
Female,Product B
Male,Product A
Female,Product C
Male,Product A
Female,Product A
Male,Product C
Male,Product A
Male,Product C
Female,Product B
Female,Product B
Female,Product C
Female,Product C
Male,Product B
Female,Product A
Male,Product B
Female,Product C
Female,Product B
Female,Product A
Female,Product A
Male,Product B
Female,Product A
Female,Product A
Male,Product A
Female,Product C
Female,Product A
Female,Product A
Male,Product B
Female,Product A
Female,Product C
Female,Product C
Female,Product B
Male,Product C
Female,Product C
Female,Product C
Male,Product C
Female,Product A
Female,Product B
Male,Product C
Male,Product B
Female,Product B
Male,Product A
Male,Product C
Male,Product A
